stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening E:\Visual Studio Projects\TrabalhoCPC\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.35310] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35315] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35320] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35333] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35339] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35344] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35349] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35356] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35365] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35373] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35382] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35390] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35395] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35400] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35408] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35413] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35418] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35424] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35436] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35441] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35447] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35452] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35458] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35463] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35468] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35478] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35491] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35500] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35504] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35510] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35516] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35522] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35527] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35532] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35540] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35550] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35556] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35561] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35569] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35575] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35581] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35589] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35594] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35602] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35607] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35612] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35617] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35622] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35627] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35632] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35637] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35643] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35648] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35653] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35659] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35664] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35669] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35674] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35679] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35684] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35689] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35694] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35699] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35704] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35709] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35715] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35720] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35725] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35730] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35735] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35740] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35745] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35750] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35755] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35760] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35765] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35770] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35775] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35780] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35785] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35790] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35795] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35800] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35805] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.35810] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35815] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.35820] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35826] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.35832] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35838] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35843] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35848] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35852] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35858] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.35862] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35869] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.35874] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35879] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.35884] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35889] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35893] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35899] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35903] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35909] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.35913] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35919] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.35924] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35930] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.35936] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35941] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35946] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35951] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35955] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35960] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.35966] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35971] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.35976] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.35981] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.35986] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35992] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35996] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36002] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36007] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36012] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36017] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36022] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36027] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36032] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36037] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36042] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36047] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36052] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36057] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36062] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36067] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36072] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36078] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36083] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36088] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36093] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36098] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36104] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36110] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36115] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36120] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36125] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36130] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36135] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36140] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36145] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36150] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36155] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36166] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36173] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36178] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36185] Score is : 593
